Category,Name,Price,MSRP,LowPrice,Ratings,Reviews
Electric,Rogue Rocketeer Electric Guitar Pack,$242.61,$399.99,$179.99,4,133
Electric,Gibson Les Paul Standard '60s Electric Guitar,"$3,368.38","$2,899.00","$2,499.00",5,25
Electric,Gibson Les Paul Standard '50s Electric Guitar,"$3,368.38","$2,899.00","$2,499.00",4.5,32
Classic,Gibson Les Paul Classic Electric Guitar,"$2,694.43","$2,299.00","$1,999.00",5,18
Electric,Gibson Les Paul Premium Electric Guitar,"$3,899.00","$3,599.00","$2,999.00",5,20
Electric,Gibson Les Paul Studio Electric Guitar,"$2,020.49","$1,749.00","$1,499.00",5,23
Acoustic,Takamine EF381SC 12-String Acoustic-Electric Cutaway Guitar,"$2,156.61","$2,155.99","$1,599.99",5,10
Acoustic,Takamine P1DC-12 SM 12-String Dreadnought Acoustic-Electric Guitar,"$1,750.91","$2,001.49","$1,299.00",5,2
Acoustic,Epiphone Les Paul Special II Plus Top Limited-Edition Electric Guitar,$308.67,$348.00,$229.00,4.5,101
Electric,Epiphone Les Paul Electric Guitar Player Pack,$335.62,$289.00,$249.00,4.5,88
Electric,Takamine Pro Series 3 Dreadnought Cutaway 12-String Acoustic Electric Guitar,"$2,156.61","$2,078.99","$1,599.99",5,5
Electric,Gibson Les Paul Traditional PRO V Flame Top Electric Guitar,"$3,772.74","$5,199.00","$2,799.00",4.5,11
Electric,Gibson SG Standard Electric Guitar,"$2,020.49","$1,749.00","$1,499.00",4.5,8
Acoustic,Gibson G-45 Studio Acoustic-Electric Guitar,"$1,346.54","$1,149.00",$999.00,4.5,11
Electric,Gibson Les Paul Tribute Electric Guitar,"$1,616.12","$1,399.00","$1,199.00",4.5,23
Electric,Gibson Les Paul Standard '50s P-90 Electric Guitar,"$3,368.38","$2,899.00","$2,499.00",5,3
Classic,G&L Limited Edition Tribute ASAT Classic Electric Guitar,$606.54,$649.99,$449.99,4.5,39
Electric,Takamine G Series GD30CE-12 Dreadnought 12-String Acoustic-Electric Guitar,$741.33,$769.99,$549.99,4.5,26
Acoustic,Rogue RG-624 Left-Handed Dreadnought Acoustic Guitar,$134.78,$179.99,$99.99,4.5,56
Electric,Gibson SG Standard '61 Maestro Vibrola Electric Guitar,"$2,694.43","$2,299.00","$1,999.00",4.5,5
Acoustic,Epiphone Masterbilt DR-500MCE Acoustic-Electric Guitar,$808.72,"$1,165.00",$599.99,4.5,117
Electric,Takamine EF341SC Legacy Series Acoustic-Electric Guitar,"$2,021.82","$2,001.99","$1,499.99",4.5,21
Electric,Epiphone Limited Edition SG Special-I Electric Guitar,$235.87,$248.00,$174.99,4.5,87
Electric,Gibson SG Standard '61 Electric Guitar,"$2,424.85","$2,099.00","$1,799.00",5,8
Electric,Epiphone Casino Electric Guitar,$874.78,$749.00,$649.00,4.5,77
Electric,Rogue Rocketeer Electric Guitar Pack,$242.61,$399.99,$179.99,4,133
Electric,Gibson Les Paul Standard '60s Electric Guitar,"$3,368.38","$2,899.00","$2,499.00",5,25
Electric,Gibson Les Paul Standard '50s Electric Guitar,"$3,368.38","$2,899.00","$2,499.00",4.5,32
Classic,Gibson Les Paul Classic Electric Guitar,"$2,694.43","$2,299.00","$1,999.00",5,18
Electric,Gibson Les Paul Studio Electric Guitar,"$2,020.49","$1,749.00","$1,499.00",5,23
Acoustic,Takamine EF381SC 12-String Acoustic-Electric Cutaway Guitar,"$2,156.61","$2,155.99","$1,599.99",5,10
Acoustic,Takamine P1DC-12 SM 12-String Dreadnought Acoustic-Electric Guitar,"$1,750.91","$2,001.49","$1,299.00",5,2
Electric,Epiphone Les Paul Special II Plus Top Limited-Edition Electric Guitar,$308.67,$348.00,$229.00,4.5,101
Electric,Epiphone Les Paul Electric Guitar Player Pack,$335.62,$289.00,$249.00,4.5,88
Acoustic,Takamine Pro Series 3 Dreadnought Cutaway 12-String Acoustic Electric Guita...,"$2,156.61","$2,078.99","$1,599.99",5,5
Electric,Gibson Les Paul Traditional PRO V Flame Top Electric Guitar,"$3,772.74","$5,199.00","$2,799.00",4.5,11
Electric,Gibson SG Standard Electric Guitar,"$2,020.49","$1,749.00","$1,499.00",4.5,8
Acoustic,Gibson G-45 Studio Acoustic-Electric Guitar,"$1,346.54","$1,149.00",$999.00,4.5,11
Electric,Gibson Les Paul Tribute Electric Guitar,"$1,616.12","$1,399.00","$1,199.00",4.5,23
Electric,Gibson Les Paul Standard '50s P-90 Electric Guitar,"$3,368.38","$2,899.00","$2,499.00",5,3
Classic,G&L Limited Edition Tribute ASAT Classic Electric Guitar,$606.54,$649.99,$449.99,4.5,39
Classic,G&L Limited Edition Tribute ASAT Classic Manual Guitar,$400.00,$450.50,$320.99,4.5,30
Acoustic,Takamine G Series GD30CE-12 Dreadnought 12-String Acoustic-Electric Guitar,$741.33,$769.99,$549.99,4.5,26
Acoustic,Rogue RG-624 Left-Handed Dreadnought Acoustic Guitar,$134.78,$179.99,$99.99,4.5,56
Electric,Gibson SG Standard '61 Maestro Vibrola Electric Guitar,"$2,694.43","$2,299.00","$1,999.00",4.5,5
Acoustic,Epiphone Masterbilt DR-500MCE Acoustic-Electric Guitar,$808.72,"$1,165.00",$599.99,4.5,117
Acoustic,Takamine EF341SC Legacy Series Acoustic-Electric Guitar,"$2,021.82","$2,001.99","$1,499.99",4.5,21
Electric,Epiphone Limited Edition SG Special-I Electric Guitar,$235.87,$248.00,$174.99,4.5,87
Electric,Gibson SG Standard '61 Electric Guitar,"$2,424.85","$2,099.00","$1,799.00",5,8
Electric,Epiphone Casino Electric Guitar,$874.78,$749.00,$649.00,4.5,77
Electric,Rogue Rocketeer Electric Guitar Pack,$242.61,$399.99,$179.99,4,133
Electric,Gibson Les Paul Standard '60s Electric Guitar,"$3,368.38","$2,899.00","$2,499.00",5,25
Electric,Gibson Les Paul Standard '50s Electric Guitar,"$3,368.38","$2,899.00","$2,499.00",4.5,32
Classic,Gibson Les Paul Classic Electric Guitar,"$2,694.43","$2,299.00","$1,999.00",5,18
Electric,Gibson Les Paul Studio Electric Guitar,"$2,020.49","$1,749.00","$1,499.00",5,23
Acoustic,Takamine EF381SC 12-String Acoustic-Electric Cutaway Guitar,"$2,156.61","$2,155.99","$1,599.99",5,10
Acoustic,Takamine P1DC-12 SM 12-String Dreadnought Acoustic-Electric Guitar,"$1,750.91","$2,001.49","$1,299.00",5,2
Electric,Epiphone Les Paul Special II Plus Top Limited-Edition Electric Guitar,$308.67,$348.00,$229.00,4.5,101
Electric,Epiphone Les Paul Electric Guitar Player Pack,$335.62,$289.00,$249.00,4.5,88
Acoustic,Takamine Pro Series 3 Dreadnought Cutaway 12-String Acoustic Electric Guita...,"$2,156.61","$2,078.99","$1,599.99",5,5
Electric,Gibson Les Paul Traditional PRO V Flame Top Electric Guitar,"$3,772.74","$5,199.00","$2,799.00",4.5,11
Electric,Gibson SG Standard Electric Guitar,"$2,020.49","$1,749.00","$1,499.00",4.5,8
Acoustic,Gibson G-45 Studio Acoustic-Electric Guitar,"$1,346.54","$1,149.00",$999.00,4.5,11
Electric,Gibson Les Paul Tribute Electric Guitar,"$1,616.12","$1,399.00","$1,199.00",4.5,23
Electric,Gibson Les Paul Standard '50s P-90 Electric Guitar,"$3,368.38","$2,899.00","$2,499.00",5,3
